project_id|project_name|status|total_commitment_usd|approval_date|end_date|sector|theme|borrower|implementing_agency|country|project_url|source
P147343|Public Financial Management Reform Program Phase I|Closed|30.0||2018-12-31|Central Government (Central Agencies); Other Public Administration|Public Sector Management; Economic Policy|||Republic of Zambia||World Bank
P508305|Skills Training for Resilience and Industry-Valued Employment Project|Pipeline|0.0|||Unknown|Unknown|||Republic of Zambia||World Bank
P178792|Green, Resilient and Transformational Tourism Development Project (GREAT-TDP)|Dropped|100.0|||Unknown|Unknown|||Republic of Zambia||World Bank
P121986|Zambia Pilot Program for Climate Resilience - Phase I|Active|1.5|||Other Transportation; Other Agriculture, Fishing and Forestry; Other Water Supply, Sanitation and Waste Management|Environment and Natural Resource Management; Urban and Rural Development; Finance|||Republic of Zambia||World Bank
P074258|SEED Biodiversity|Closed|4.0||2011-11-30|Central Government (Central Agencies); Other Industry, Trade and Services; Other Agriculture, Fishing and Forestry|Environment and Natural Resource Management; Public Sector Management; Private Sector Development|||Republic of Zambia||World Bank
P160493|Zambia Integrated Forest Landcape Program BioCF Grant|Dropped|0.0|||Other Agriculture, Fishing and Forestry; Agricultural Extension, Research, and Other Support Activities; Public Administration - Agriculture, Fishing & Forestry; Forestry; Crops|Environment and Natural Resource Management; Urban and Rural Development; Finance|||Republic of Zambia||World Bank
P501987|SMEMZ|Pipeline|10.23|||Unknown|Unknown|||Republic of Zambia||World Bank
P178539|Zambia:Strengthening Public Procurement System for Economic Development|Closed|0.455||2024-06-30|Central Government (Central Agencies)|Environment and Natural Resource Management; Public Sector Management; Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P180930|GEF - EASTERN PROVINCE JURISDICTIONAL SUSTAINABLE LANDSCAPE PROGRAM|Dropped|0.0|||Unknown|Unknown|||Republic of Zambia||World Bank
P155224|Extractive Industries Transparency Initiative (EITI) Post-Compliance Implementation Support II|Closed|0.21||2015-12-31|Public Administration - Energy and Extractives; Mining|Environment and Natural Resource Management; Social Development and Protection; Public Sector Management|||Republic of Zambia||World Bank
P160267|Forest Investment Program (FIP) Investment Plan|Closed|0.25||2018-06-30|Public Administration - Agriculture, Fishing & Forestry; Forestry|Environment and Natural Resource Management; Urban and Rural Development|||Republic of Zambia||World Bank
P160383|Zambia Scaling Renewable Energy Program Investment Plan|Closed|0.3||2018-06-18|Other Energy and Extractives; Renewable Energy Wind; Renewable Energy Solar; Renewable Energy Geothermal; Renewable Energy Biomass|Environment and Natural Resource Management; Urban and Rural Development; Private Sector Development|||Republic of Zambia||World Bank
P155827|EASTERN PROVINCE JURISDICTIONAL SUSTAINABLE LANDSCAPE PROGRAM - EMISSIONS REDUCTION PROJECT|Active|0.0||2030-10-31|Crops; Other Agriculture, Fishing and Forestry; Public Administration - Agriculture, Fishing & Forestry; Forestry; Agricultural Extension, Research, and Other Support Activities|Environment and Natural Resource Management; Urban and Rural Development; Finance|||Republic of Zambia||World Bank
P157521|Zambia Integrated Forest Landscape Project (GEF)|Closed|8.050458|||Agricultural Extension, Research, and Other Support Activities; Forestry|Environment and Natural Resource Management; Urban and Rural Development|||Republic of Zambia||World Bank
P505094|DZAP|Pipeline|100.0|||Unknown|Unknown|||Republic of Zambia||World Bank
P507796|Zambia Healthcare Innovation and Transformation Project|Pipeline|0.0|||Unknown|Unknown|||Republic of Zambia||World Bank
P173472|Zambia: Voice and Accountability: Community Empowerment for Improved Local Service Delivery Project|Active|2.75||2025-06-30|Secondary Education; Primary Education; Sub-National Government; Public Administration - Education|Human Development and Gender; Social Development and Protection; Public Sector Management; Private Sector Development|||Republic of Zambia||World Bank
P179237|Water Supply and Sanitation Services in Growth Centers: Program for Results (PforR)|Pipeline|25.0|||Unknown|Unknown|||Republic of Zambia||World Bank
P507971|TRALARD II|Pipeline|0.0|||Unknown|Unknown|||Republic of Zambia||World Bank
